39,1,77516,15,13,6,12,2,1,40,0
50,4,83311,15,13,5,11,1,1,13,0
38,2,215646,9,9,2,9,2,1,40,0
53,2,234721,14,7,5,9,1,1,40,0
28,2,338409,15,13,5,7,4,0,40,0
37,2,284582,0,14,5,11,4,0,40,0
49,2,160187,10,5,1,5,2,0,16,0
52,4,209642,9,9,5,11,1,1,45,1
31,2,45781,0,14,6,7,2,0,50,1
42,2,159449,15,13,5,11,1,1,40,1
37,2,280464,13,10,5,11,1,1,80,1
30,1,141297,15,13,5,7,1,1,40,1
23,2,122272,15,13,6,12,0,0,30,0
32,2,205019,8,12,6,4,2,1,50,0
34,2,245487,11,4,5,1,1,1,45,0
25,4,176756,9,9,6,8,0,1,35,0
32,2,186824,9,9,6,6,5,1,40,0
38,2,28887,14,7,5,4,1,1,50,0
43,4,292175,0,14,2,11,5,0,45,1
40,2,193524,6,16,5,7,1,1,60,1
54,2,302146,9,9,0,5,5,0,20,0
35,3,76845,10,5,5,8,1,1,40,0
43,2,117037,14,7,5,1,1,1,40,0
59,2,109015,9,9,2,13,5,0,40,0
56,0,216851,15,13,5,13,1,1,40,1
19,2,168294,9,9,6,0,0,1,40,0
39,2,367260,9,9,2,11,2,1,80,0
49,2,193366,9,9,5,0,1,1,40,0
23,0,190709,8,12,6,10,2,1,52,0
20,2,266015,13,10,6,4,0,1,44,0
45,2,386940,15,13,2,11,0,1,40,0
30,3,59951,13,10,5,12,0,1,40,0
22,1,311512,13,10,5,5,1,1,15,0
48,2,242406,14,7,6,6,5,1,40,0
21,2,197200,13,10,6,6,0,1,40,0
19,2,544091,9,9,3,12,4,0,25,0
48,4,265477,8,12,5,7,1,1,40,0
31,2,507875,10,5,5,6,1,1,43,0
53,4,88506,15,13,5,7,1,1,40,0
24,2,172987,15,13,5,13,1,1,50,0
49,2,94638,9,9,0,12,5,0,40,0
25,2,289980,9,9,6,9,2,1,35,0
57,3,337895,15,13,5,7,1,1,40,1
53,2,144361,9,9,5,6,1,1,38,0
44,2,128354,0,14,2,11,5,0,40,0
41,1,101603,3,11,5,0,1,1,40,0
29,2,271466,3,11,6,7,2,1,43,0
25,2,32275,13,10,5,11,4,0,40,0
47,2,51835,12,15,5,7,4,0,60,1
50,3,251585,15,13,2,11,2,1,55,1
47,6,109832,9,9,2,11,2,1,60,0
43,2,237993,13,10,5,13,1,1,40,1
46,2,216666,1,3,5,6,1,1,40,0
35,2,56352,3,11,5,5,1,1,40,0
41,2,147372,9,9,5,12,1,1,48,0
30,2,188146,9,9,5,6,1,1,40,0
30,2,59496,15,13,5,4,1,1,40,0
48,2,149640,9,9,5,1,1,1,40,0
42,2,116632,6,16,5,7,1,1,45,1
29,2,105598,13,10,2,13,2,1,58,0
36,2,155537,9,9,5,0,1,1,40,0
28,2,183175,13,10,2,12,2,0,40,0
53,2,169846,9,9,5,12,4,0,40,1
49,6,191681,13,10,5,11,1,1,50,1
19,2,101509,13,10,6,7,0,1,32,0
31,2,309974,15,13,0,4,0,0,40,0
29,4,162298,15,13,5,4,1,1,70,1
23,2,211678,13,10,6,6,2,1,40,0
79,2,124744,13,10,5,7,3,1,20,0
27,2,213921,9,9,6,5,0,1,40,0
40,2,32214,8,12,5,12,1,1,40,0
18,2,309634,14,7,6,5,0,0,22,0
31,0,125927,11,4,5,8,1,1,40,0
18,2,446839,9,9,6,4,2,1,30,0
52,2,276515,15,13,5,5,1,1,40,0
46,2,51618,9,9,5,5,4,0,40,0
59,2,159937,9,9,5,4,1,1,48,0
44,2,343591,9,9,2,0,2,0,40,1
53,2,346253,9,9,2,4,0,0,35,0
49,0,268234,9,9,5,10,1,1,40,1
33,2,202051,0,14,5,7,1,1,50,0
30,2,54334,10,5,6,4,2,1,40,0
43,3,410867,6,16,6,7,2,0,50,1
57,2,249977,3,11,5,7,1,1,40,0
37,2,286730,13,10,2,0,5,0,40,0
28,2,212563,13,10,2,6,5,0,25,0
34,0,226296,15,13,5,10,1,1,40,1
29,0,115585,13,10,6,9,2,1,50,0
48,4,191277,6,16,5,7,1,1,60,1
37,2,202683,13,10,5,4,1,1,48,1
48,2,171095,8,12,2,11,5,0,40,0
32,3,249409,9,9,6,5,0,1,40,0
76,2,124191,0,14,5,11,1,1,40,1
44,2,198282,15,13,5,11,1,1,60,1
47,4,149116,0,14,6,7,2,0,50,0
20,2,188300,13,10,6,13,0,0,40,0
29,2,103432,9,9,6,0,2,1,40,0
32,6,317660,9,9,5,0,1,1,40,1
30,2,194901,14,7,6,9,0,1,40,0
31,0,189265,9,9,6,12,2,0,40,0
42,2,124692,9,9,5,9,1,1,40,0
24,2,432376,15,13,6,4,3,1,40,0
38,2,65324,12,15,5,7,1,1,40,1
56,4,335605,9,9,5,5,1,1,50,1
28,2,377869,13,10,5,4,4,0,25,0
36,2,102864,9,9,6,6,0,0,40,0
53,2,95647,10,5,5,9,1,1,50,0
56,6,303090,13,10,5,4,1,1,50,0
49,0,197371,3,11,5,0,1,1,40,1
55,2,247552,13,10,5,4,1,1,56,0
22,2,102632,9,9,6,0,2,1,41,0
21,2,199915,13,10,6,5,0,0,40,0
40,2,118853,15,13,5,11,1,1,60,0
30,2,77143,15,13,6,11,0,1,40,0
29,1,267989,15,13,5,7,1,1,50,1
19,2,301606,13,10,6,5,0,1,35,0
47,2,287828,15,13,5,11,4,0,40,1
20,2,111697,13,10,6,12,0,0,28,0
31,2,114937,8,12,5,12,1,1,40,1
39,2,365739,13,10,2,0,2,1,40,0
28,2,69621,8,12,6,4,2,0,60,0
24,2,43323,9,9,6,5,2,0,40,0
38,4,120985,9,9,5,0,1,1,35,0
37,2,254202,15,13,5,4,1,1,50,0
46,2,146195,8,12,2,13,2,0,36,0
